id,latitude,longitude,event_type,description,update_at
46,-9.84,-75.64,Sismo,"Magnitud: 3.8, Referencia: 27 km al SO de Codo Del Pozuzo, Puerto Inca - Huanuco",2023-12-16 07:47:18
47,-18.91,-72.5,Sismo,"Magnitud: 4.1, Referencia: 187 km al SO de Ilo, Ilo - Moquegua",2023-12-16 14:36:19
48,-5.33,-80.8,Sismo,"Magnitud: 4.0, Referencia: 24 km al SO de Piura, Piura - Piura",2023-12-16 12:49:19
49,-15.25,-75.61,Sismo,"Magnitud: 4.3, Referencia: 49 km al O de Marcona, Nazca - Ica",2023-12-16 19:05:19
50,-13.02,-76.45,Sismo,"Magnitud: 3.6, Referencia: 10 km al NO de San Vicente De Cañete, Cañete - Lima",2023-12-17 17:28:19
51,-15.02,-73.31,Sismo,"Magnitud: 3.7, Referencia: 16 km al N de Colta, Paucar Del Sara Sara - Ayacucho",2023-12-18 04:11:18
52,-5.94,-80.23,Sismo,"Magnitud: 3.8, Referencia: 37 km al O de Olmos, Lambayeque - Lambayeque",2023-12-18 14:40:18
53,-6.49,-80.83,Sismo,"Magnitud: 4.0, Referencia: 105 km al S de Sechura, Sechura - Piura",2023-12-18 19:42:18
54,-17.17,-72.25,Sismo,"Magnitud: 3.9, Referencia: 30 km al SO de Mollendo, Islay - Arequipa",2023-12-18 22:31:18
55,-15.81,-71.81,Sismo,"Magnitud: 3.6, Referencia: 19 km al S de Maca, Caylloma - Arequipa",2023-12-19 03:33:18
56,-4.54,-76.94,Sismo,"Magnitud: 4.2, Referencia: 43 km al NO de Barranca, Datem del Marañón - Loreto",2023-12-19 14:23:19
57,-4.89,-80.23,Sismo,"Magnitud: 4.4, Referencia: 24 km al N de Chulucanas, Morropon - Piura",2023-12-19 19:26:18
58,-3.54,-79.73,Sismo,"Magnitud: 4.1, Referencia: 60 km al E de Zarumilla, Zarumilla - Tumbes",2023-12-19 20:59:18
59,-15.68,-72.03,Sismo,"Magnitud: 3.5, Referencia: 9 km al SO de Cabanaconde, Caylloma - Arequipa",2023-12-20 02:01:19
60,-14.09,-72.81,Sismo,"Magnitud: 4.5, Referencia: 11 km al O de Chuquibambilla, Grau - Apurimac",2023-12-20 10:47:19
61,-16.11,-72.78,Sismo,"Magnitud: 6.0, Referencia: 31 km al O de Aplao, Castilla - Arequipa",2023-12-20 15:49:19
62,-8.48,-74.6,Sismo,"Magnitud: 5.0, Referencia: 14 km al SO de Pucallpa, Coronel Portillo - Ucayali",2023-12-21 11:44:18
63,-16.11,-72.74,Sismo,"Magnitud: 4.0, Referencia: 27 km al O de Aplao, Castilla - Arequipa",2023-12-21 16:46:19
64,-15.81,-71.77,Sismo,"Magnitud: 3.5, Referencia: 19 km al S de Maca, Caylloma - Arequipa",2023-12-22 02:25:18
65,-16.12,-72.89,Sismo,"Magnitud: 4.0, Referencia: 40 km al SO de Chuquibamba, Condesuyos - Arequipa",2023-12-22 11:37:18
66,-3.92,-77.41,Sismo,"Magnitud: 4.0, Referencia: 89 km al NE de Sta. Maria De Nieva, Condorcanqui - Amazonas",2023-12-23 04:10:40
67,-11.53,-78.25,Sismo,"Magnitud: 4.1, Referencia: 84 km al SO de Huacho, Huaura - Lima",2023-12-23 10:49:09
68,-14.99,-72.7,Sismo,"Magnitud: 4.2, Referencia: 32 km al NE de Cotahuasi, La Union - Arequipa",2023-12-23 16:37:19
