"id","name","country","department","multiregional_or_nationalcd","province","district","location","other_places_involved","company_involved","type","activity","state","active_phases","time_of_dialogue","dialogue_mechanism","participation_dialogue","incident_of_violence","dialogue_after_violence","ombudsman_office","main_government","latitude","longitude","hash","createdAt","updatedAt","source"
4094,Comunidades nativas de la Cuenca del río Chambira,Perú,Loreto,"",Loreto,Urarinas,"","",Pluspetrol Norte,Socioambiental,Hidrocarburos,Activo,,Inicio,Mesa de diálogo: negociación directa,Colaborador,Sí,"","Colaboración, observación activa y supervisión",Gobierno nacional,-4.2999215572542795,-75.49828355725428,loreto-loreto-urarinas-hidrocarburos-socioambiental-comunidades nativas de la cuenca del rio chambira,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4095,CN Cuninico - Petroperú,Perú,Loreto,"",Loreto,Urarinas,Comunidad nativa Cuninico,Distritos de Urarinas y Parinari,Petroperú,Socioambiental,Hidrocarburos,Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-4.299711961625674,-75.49807396162568,loreto-loreto-urarinas-hidrocarburos-socioambiental-cn cuninico - petroperu,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4096,Comunidades de la cuenca del río Curaray,Perú,Loreto,"",Maynas,Napo,"CN San Rafael, CN Nueva Libertad, CN Mucha Vista, CN Santa María, CN Nuevo Yarina, CN Tipishca, CN Soledad, CN Bellavista, CN Bolívar, CN Chambira","",Perenco Peru Petroleum Limited Sucursal del Perú,Socioambiental,Hidrocarburos,Activo,,Suspendido,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,"","Colaboración, observación activa y supervisión",Gobierno regional,-2.0339573029093505,-74.39301030290936,loreto-maynas-napo-hidrocarburos-socioambiental-comunidades de la cuenca del rio curaray,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4097,Saramurillo - Estación 1,Perú,Loreto,"",Loreto,Urarinas,C.N. Saramurillo,"",Petroperú,Socioambiental,Hidrocarburos,Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,"","Colaboración, observación activa y supervisión",Gobierno regional,-4.301184542077444,-75.49954654207745,loreto-loreto-urarinas-hidrocarburos-socioambiental-saramurillo - estacion 1,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4098,"San Juan Nativo, San Juan Campesino y Nueva Libertad – Pluspetrol Norte",Perú,Loreto,"",Loreto,Trompeteros,"C.N. Nueva Libertad, C.N. San Juan de Trompeteros, C.C. San Juan de Trompeteros","",Pluspetrol Norte S.A. en liquidación,Socioambiental,Hidrocarburos,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,"",Solo monitoreo,Gobierno nacional,-3.0804005152972764,-75.55009851529728,"loreto-loreto-trompeteros-hidrocarburos-socioambiental-san juan nativo, san juan campesino y nueva libertad – pluspetrol norte","2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4099,Santa Elena - Pluspetrol Norte,Perú,Loreto,"",Loreto,Trompeteros,C.N. Santa Elena,"",Pluspetrol,Socioambiental,Hidrocarburos,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,Solo monitoreo,Gobierno nacional,-3.0795776002880992,-75.54927560028811,loreto-loreto-trompeteros-hidrocarburos-socioambiental-santa elena - pluspetrol norte,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4100,San José de Nueva Esperanza - Pluspetrol Norte,Perú,Loreto,"",Loreto,Trompeteros,C.N. San José de Nueva Esperanza,"",Pluspetrol,Socioambiental,Hidrocarburos,Activo,,"","","",Sí,Sí,Solo monitoreo,Gobierno nacional,-3.0804764588285014,-75.55017445882851,loreto-loreto-trompeteros-hidrocarburos-socioambiental-san jose de nueva esperanza - pluspetrol norte,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4101,Fernando Rosas - Petroperú,Perú,Loreto,"",Datem del Marañón,Morona,C.N. Fernando Rosas,"",Petroperú,Socioambiental,Hidrocarburos,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-3.763202183736652,-77.42492468373665,loreto-datem del maranon-morona-hidrocarburos-socioambiental-fernando rosas - petroperu,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4102,Comunidades Urituyacu,Perú,Loreto,"",Loreto,Urarinas,"CC.NN. Nuena Alianza, Cafetal, Juan Velasco Alvarado, Progreso I, Progreso II, Reforma, San Enrique, San Antonio de Bancal, Guineal, 8 de Octubre, San Luis, Ayahuasca y San Juan de Abejaico","",Petroperú,Socioambiental,Hidrocarburos,Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-4.30090338415336,-75.49926538415336,loreto-loreto-urarinas-hidrocarburos-socioambiental-comunidades urituyacu,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4103,Bretaña - Petro Tal,Perú,Loreto,"",Requena,Puinahua,C.P. Bretaña,"",Petro Tal,Socioambiental,Hidrocarburos,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-5.600352005453833,-74.89835250545383,loreto-requena-puinahua-hidrocarburos-socioambiental-bretana - petro tal,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4104,Nuevo Progreso - Pluspetrol,Perú,Loreto,"",Loreto,Urarinas,C.N. Nuevo Progreso,"",Pluspetrol Norte S.A.,Socioambiental,Hidrocarburos,Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-4.300463997097879,-75.49882599709788,loreto-loreto-urarinas-hidrocarburos-socioambiental-nuevo progreso - pluspetrol,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
