"id","source","number","date","address","type","status","machines","lat","lng","state","createdAt","updatedAt","color"
139,,"2021020819","2021-08-05 04:02:35",AV. LAS MALVINAS (JOSE CARLOS MARIATEGUI) CRUCE CON AV. PACHACUTEC (ATOCONGO) VILLA EL SALVADOR    - VILLA EL SALVADOR,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M105-1"",""M155-1"",""AMB-129"",""M106-1""]",-12.215052711452,-76.9224474377854,1,"2021-08-05 04:27:45","2021-08-06 03:27:48",#D32F2F
140,,"2021020852","2021-08-05 15:43:14",CL. CUSCO  URB  TROPICAL  100  - LA PERLA,MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO,CERRADO,"[""M7-5"",""M1-1"",""AMB-36"",""RES-83"",""MATPEL-1""]",-12.0709146540079,-77.1158109818531,1,"2021-08-05 16:27:44","2021-08-06 15:27:44",#757575
141,,"2021020899","2021-08-05 23:23:57",CL. BELLO HORIZONTE  139  - SAN BORJA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M134-1"",""AMB11-2"",""RES-11"",""M11-1""]",-12.1070383352804,-76.9815461721474,1,"2021-08-05 23:27:43","2021-08-06 22:27:43",#D32F2F
142,,"2021020878","2021-08-05 18:34:29",PROVINCIA DE OYON    - OYON,INCENDIO / FORESTAL / BOSQUES,ATENDIENDO,"[""M216-1"",""AMB-216"",""AUX-20""]",-12.0314041445531,-77.0037708875419,1,"2021-08-06 00:27:43","2021-08-06 18:27:43",#D32F2F
143,,"2021020920","2021-08-06 03:06:15",AV. BUENOS AIRES (MIGUEL GRAU) CRUCE CON AV. GUARDIA CHALACA BELLAVISTA    - BELLAVISTA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M5-1"",""AMB-34"",""M15-1""]",-12.0596527175267,-77.1272488442729,1,"2021-08-06 03:27:48","2021-08-07 02:27:44",#D32F2F
144,,"2021020952","2021-08-06 17:36:43",AV. GRAU FRENTE CUARTEL BARBONES    - EL AGUSTINO,INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA,CERRADO,"[""M2-1"",""M2-5"",""M176-1""]",-12.0531823598874,-77.0114913699102,1,"2021-08-06 18:27:43","2021-08-07 17:27:45",#D32F2F
145,,"2021020969","2021-08-06 20:13:39",CARRETERAS - PANAMERICANAS PANAMERICANA NORTE 36.16    - PUENTE PIEDRA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M75-1"",""AMB-150"",""M184-1"",""M164-1""]",-11.8284604456924,-77.1196832725517,1,"2021-08-06 20:28:01","2021-08-07 19:27:44",#D32F2F
146,,"2021020979","2021-08-06 21:03:15",AV. RICARDO TIZON Y BUENO  595  - JESUS MARIA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M36-1"",""MED-36"",""RES-4"",""RES-202""]",-12.0791122446897,-77.0507686307566,1,"2021-08-06 21:27:44","2021-08-07 20:27:43",#D32F2F
147,,"2021021003","2021-08-07 02:00:25",CL. EUSEBIO DEL LLANO ZAPATA  332  - MIRAFLORES,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M100-1"",""M28-1"",""MED-202"",""RES-4""]",-12.1102437348434,-77.0395293017111,1,"2021-08-07 02:27:44","2021-08-08 01:27:43",#D32F2F
148,,"2021021022","2021-08-07 05:14:08",AV. MARCO POLO MZ C 1 LT 21  000  - SAN MARTIN DE PORRES,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M65-1"",""AMB-21"",""RES-168"",""M65-5""]",-12.010601510544,-77.0569642858432,1,"2021-08-07 05:27:44","2021-08-08 04:27:42",#D32F2F
149,,"2021021020","2021-08-07 05:01:46",JR. ZORRITOS  800  - LIMA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M14-1"",""M3-1"",""AMB-14"",""RES-3""]",-12.0496543728332,-77.0500871144236,1,"2021-08-07 05:27:44","2021-08-08 04:27:43",#D32F2F
150,,"2021021041","2021-08-07 14:56:05",AV. JOSE GALVEZ  1225  - BELLAVISTA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,ATENDIENDO,"[""M7-5"",""AMB-1"",""M15-1""]",-12.0661981537714,-77.1242011980766,1,"2021-08-07 15:27:46","2021-08-08 14:27:44",#D32F2F
151,,"2021021119","2021-08-08 03:02:20",AH. DANIEL ALCIDES CARRION MZ. D1 LT 2    - SAN MARTIN DE PORRES,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M168-1"",""AMB-9"",""RES-168"",""M9-1""]",-12.0125102563241,-77.0814602861553,1,"2021-08-08 03:27:44","2021-08-09 02:27:44",#D32F2F
152,,"2021021131","2021-08-08 05:25:41",PR. EL RETABLO  1900  - COMAS,INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA,CERRADO,"[""M168-1"",""M164-1"",""M124-1""]",-11.9161073112082,-77.0509901103547,1,"2021-08-08 06:27:42","2021-08-09 04:27:45",#D32F2F
